Folder,Depth,d,E,v,phi,psi,c,sv,sh,Delft_inf,Delft_sug,Exists,yield_angle,yield_stress,yield_strain
Disp_0,42,2108.58,49040300,0.29247,44.5228424060578,14.1261,4999.9986467078,868.7771316,259.596198500158,6113.90162564543,6089.41700355772,1,45,1371.81424660994,0.0532237514853477
Disp_1,42,2378.76,30544100,0.384267,30.984098123811,19.1708,4999.99886048706,980.0966952,475.542762850264,4251.24930951435,4241.38533831956,1,NaN,Inf,Inf
Disp_10,26,1943.92,54098200,0.277512,31.4202244319132,17.8703,4999.99436948353,495.8162352,237.341833226889,3442.23157887618,3367.0612313877,1,NaN,Inf,Inf
Disp_100,37,2341.64,98842600,0.302208,36.3064353115825,13.4055,4999.99705652358,849.9450708,346.689453990069,6781.47535682355,6706.20749260176,1,NaN,Inf,Inf
Disp_1000,18,1794.09,51484900,0.339554,43.1577921887117,14.0802,5000.00686775436,316.8004122,100.105789382549,3325.92287977104,3142.17772991342,1,40,527.3432360756,0.0224209614098072
Disp_1001,25,1940.18,95876100,0.384034,22.0545805615134,12.2623,5000.00271874947,475.829145,297.160217132858,2795.96771814709,2679.16872781658,1,NaN,Inf,Inf
Disp_1002,45,1933.82,72867500,0.316529,37.8424896881549,14.1452,5000.00407300007,853.684839,329.955292296512,6248.22635430193,6214.2621893008,1,NaN,Inf,Inf
Disp_1003,31,2025.53,73513400,0.351244,33.1655532841216,13.978,5000.00287451474,615.9839283,279.003726817352,4530.51743455465,4458.60511114395,0,NaN,Inf,Inf
Disp_1004,45,1792.13,77377700,0.363721,38.1323562145694,13.227,5000.00320992244,791.1357885,302.625122084541,6056.14134934659,6019.86820183469,1,-35,1498.99434785595,0.048480149358511
Disp_1005,17,1852.93,92570100,0.308955,22.1138769657422,18.7427,5000.00053756104,309.0131361,192.685556275767,2077.44359563571,1837.05787432553,1,60,2242.8328234127,0.869178116321564
Disp_1006,33,2171.79,35987700,0.384668,24.9248963061686,18.2621,5000.00108476761,703.0735767,406.777346307384,3088.13800350324,3068.12710098293,1,NaN,Inf,Inf
Disp_1007,34,2342.11,74573300,0.374067,35.6943268270541,17.9341,4999.99434158686,781.1873694,325.395162211573,5600.30713168898,5542.68725468794,1,NaN,Inf,Inf
Disp_1008,48,1983.49,55183000,0.359867,37.0622613828563,19.1348,5000.00410287804,933.9857712,371.088875010911,5781.65426782759,5762.93428111056,1,NaN,Inf,Inf
Disp_1009,24,2377.21,59478000,0.366604,20.3138098475804,18.9726,4999.99755460788,559.6903224,365.3872795311,2575.49273239292,2509.29555730284,1,NaN,Inf,Inf
Disp_101,14,1686.83,75421800,0.267712,34.2070378793026,19.7553,4999.99788615988,231.6692322,101.428272456362,2599.50133092543,2179.6597164557,1,-35,2544.24621687776,0.366965860128403
Disp_1010,49,2090.27,40917800,0.341598,30.773253734542,12.6686,5000.00013678553,1004.7718863,490.688551937881,4802.30298304899,4791.24289495161,1,NaN,Inf,Inf
Disp_1011,27,1625.5,62915300,0.326428,38.4449459065579,13.6481,5000.00218701641,430.546185,162.848772663525,3924.70077082827,3828.57671205566,0,NaN,Inf,Inf
