Folder,Depth,d,E,v,phi,psi,c,sv,sh,Delft_inf,Delft_sug,Exists,yield_angle,yield_stress,yield_strain
Disp_1455,9,1821.81,37118900,0.396813,29.2191408632007,15.8395,4999.9935291829,160.8476049,82.3296455190222,1327.1540485547,1038.16352653299,1,-15,1010.21284448169,0.20703125
Disp_1456,5,1779.97,84787200,0.372408,37.9779815222836,19.6129,4999.99980698799,87.3075285,33.5820898764373,1651.71667877028,618.948499675239,1,10,550.99714696994,0.0286377985030413
Disp_1457,41,2158.05,76470400,0.324901,25.0210142458461,14.3489,4999.99929007348,867.9892905,500.872666476731,4548.0768462737,4513.78782182442,1,NaN,Inf,Inf
Disp_1458,32,2353.29,38127500,0.323547,30.0942505611184,14.0087,5000.00201498262,738.7447968,368.320485206154,3787.00859397334,3760.87469641214,1,-5,4089.7004896215,0.534024477005005
Disp_1459,15,1646.15,33677000,0.326735,31.5231605668286,16.8346,4999.99809899289,242.2309725,115.582159775083,1825.4570127128,1694.93146792647,1,25,1722.82608003606,0.454915165901184
Disp_146,28,2375.38,56564600,0.317327,32.6457880063405,12.0566,5000.00141054996,652.4693784,300.498778407356,4266.63422081001,4204.29459610212,1,0,3463.62747382397,0.239928305149078
Disp_1460,41,1958.28,56015600,0.316592,35.7902249276136,18.0065,5000.00228330856,787.6397988,327.012848409453,5156.32825933111,5127.72722810969,1,0,5029.52385086057,0.366965860128403
Disp_1461,44,2036.75,77249400,0.296063,35.2045627160671,19.1692,5000.00083499651,879.14277,372.319260118764,6173.02600562175,6135.53372273193,1,0,5070.01134638024,0.313056647777557
Disp_1462,43,1887.37,99990700,0.282357,27.6280365405594,13.2632,4999.99608707082,796.1492871,426.951276284668,5132.27951562168,5082.11547393921,1,NaN,Inf,Inf
Disp_1463,23,1699.9,74283800,0.375284,40.9954872679844,19.2697,5000.00526695287,383.548437,131.940821694065,4079.65405939828,3912.34326937946,1,NaN,Inf,Inf
Disp_1464,31,1910.07,42436600,0.358683,32.8359862490141,17.3851,4999.99967832025,580.8713877,265.901983641584,3556.947783223,3522.07569992776,0,NaN,Inf,Inf
Disp_1465,39,1769.8,96366500,0.28327,32.9052202517684,16.4644,4999.99578200926,677.107782,309.268338918477,5355.94370602865,5287.86604717177,1,15,3874.97269140159,0.300209075212479
